Stimulus(s),S21(Real),S21(Imag)
8.00160032006E-09,-2.44213972898E-06,+1.91360880419E-06
8.20164032807E-09,-4.09655334414E-07,+3.12972640133E-06
8.40168033607E-09,+1.69065395712E-06,+2.76327270675E-06
8.60172034407E-09,+3.03937987551E-06,+1.39687849010E-06
8.80176035207E-09,+3.46943741404E-06,-3.80759045284E-07
9.00180036007E-09,+2.91494492848E-06,-2.19525162408E-06
9.20184036807E-09,+1.31622415495E-06,-3.49241550805E-06
9.40188037608E-09,-8.86010350576E-07,-3.53315682772E-06
9.60192038408E-09,-2.60275540422E-06,-2.08663248202E-06
9.80196039208E-09,-2.83911738394E-06,+4.97163232627E-08
1.00020004001E-08,-1.61986092352E-06,+1.53757582496E-06
1.02020404081E-08,-1.35225080436E-08,+1.61497520413E-06
1.04020804161E-08,+8.29745573805E-07,+6.75105232182E-07
1.06021204241E-08,+6.16027811838E-07,-2.51103155568E-07
1.08021604321E-08,-7.16894411144E-08,-4.69784866711E-07
1.10022004401E-08,-4.99469803130E-07,-6.35482468440E-08
1.12022404481E-08,-3.99008205312E-07,+4.50540998718E-07
1.14022804561E-08,+2.58744806437E-08,+6.76718208265E-07
1.16023204641E-08,+4.51968359458E-07,+5.48093337466E-07
1.18023604721E-08,+6.74246383723E-07,+1.95071869135E-07
1.20024004801E-08,+6.17558364852E-07,-2.01248170155E-07
1.22024404881E-08,+3.16260422909E-07,-4.48118187424E-07
1.24024804961E-08,-5.78461981545E-08,-4.02694536290E-07
1.26025205041E-08,-2.52543867589E-07,-1.00645568988E-07
1.28025605121E-08,-1.31170082557E-07,+2.17057279626E-07
1.30026005201E-08,+1.83597264383E-07,+2.92080691258E-07
1.32026405281E-08,+4.13604797185E-07,+8.41743252365E-08
1.34026805361E-08,+3.85406641092E-07,-2.08763976519E-07
1.36027205441E-08,+1.62631716536E-07,-3.61901746605E-07
1.38027605521E-08,-6.96251367268E-08,-3.16084418976E-07
1.40028005601E-08,-1.94078145368E-07,-1.60781417427E-07
1.42028405681E-08,-2.08788211859E-07,+7.13840794120E-09
1.44028805761E-08,-1.43489267066E-07,+1.48595417449E-07
1.46029205841E-08,-1.02347101780E-08,+2.34994504131E-07
1.48029605921E-08,+1.53937614280E-07,+2.20596221955E-07
1.50030006001E-08,+2.63812051042E-07,+1.00925645991E-07
1.52030406081E-08,+2.58976422919E-07,-4.52080396555E-08
1.54030806161E-08,+1.77204125030E-07,-1.26224538879E-07
1.56031206241E-08,+1.04955485823E-07,-1.39161449634E-07
1.58031606321E-08,+5.99175718984E-08,-1.50529379042E-07
1.60032006401E-08,-2.08001514427E-08,-1.72339383339E-07
1.62032406481E-08,-1.53366042305E-07,-1.18686540813E-07
1.64032806561E-08,-2.24300715430E-07,+6.68103835367E-08
1.66033206641E-08,-1.04431100706E-07,+2.76155270712E-07
1.68033606721E-08,+1.59426301099E-07,+3.09241527787E-07
1.70034006801E-08,+3.40074912455E-07,+1.07159447323E-07
