Stimulus(s),S21(Real),S21(Imag)
0.00000000000E+00,+3.21976864475E-07,+1.66220667688E-07
2.00040008002E-10,+6.89842887444E-07,-1.23411698059E-07
4.00080016003E-10,+5.83677916146E-07,-4.96151505514E-07
6.00120024005E-10,+2.85924867793E-07,-3.82299467932E-07
8.00160032006E-10,+4.14328703494E-07,+2.30548570745E-08
1.00020004001E-09,+6.75827117175E-07,+9.99777771246E-08
1.20024004801E-09,+9.35195318645E-08,+6.00734596680E-07
1.40028005601E-09,-2.31646099154E-07,+3.98030148529E-06
1.60032006401E-09,+4.89684469009E-06,+1.05603634600E-05
1.80036007201E-09,+2.09092554726E-05,+1.32256869457E-05
2.00040008002E-09,+4.40121937890E-05,-1.54080498267E-06
2.20044008802E-09,+5.53932581843E-05,-4.18016756491E-05
2.40048009602E-09,+2.99699978834E-05,-9.49546741392E-05
2.60052010402E-09,-4.12831537281E-05,-1.25621996978E-04
2.80056011202E-09,-1.32980536597E-04,-9.62944149737E-05
3.00060012002E-09,-1.91839195020E-04,+4.57296958545E-07
3.20064012803E-09,-1.70680277971E-04,+1.25399779377E-04
3.40068013603E-09,-6.62815482099E-05,+2.11276182345E-04
3.60072014403E-09,+7.12909542491E-05,+2.07486922890E-04
3.80076015203E-09,+1.69540863715E-04,+1.16767758133E-04
4.00080016003E-09,+1.82398117760E-04,-6.46105366697E-06
4.20084016803E-09,+1.18764054941E-04,-9.52238892319E-05
4.40088017604E-09,+2.96264333312E-05,-1.14800402498E-04
4.60092018404E-09,-3.25184853822E-05,-7.87009887937E-05
4.80096019204E-09,-4.74769644070E-05,-2.80098752033E-05
5.00100020004E-09,-3.04483016407E-05,+3.44060337328E-06
5.20104020804E-09,-9.34523804699E-06,+8.64333175115E-06
5.40108021604E-09,-6.56582407243E-07,+1.19104896339E-06
5.60112022404E-09,-2.87181493952E-06,-3.77181716626E-06
5.80116023205E-09,-6.45049788637E-06,-1.86762439308E-06
6.00120024005E-09,-5.83159246011E-06,+2.39194260448E-06
6.20124024805E-09,-2.40385057699E-06,+4.24254132773E-06
6.40128025605E-09,+3.39748242616E-07,+3.38903820787E-06
6.60132026405E-09,+1.37646527023E-06,+2.02766349612E-06
6.80136027205E-09,+1.87709541432E-06,+1.16220914086E-06
7.00140028006E-09,+2.44856600690E-06,+5.63483848738E-08
7.20144028806E-09,+2.22349882709E-06,-1.68816437833E-06
7.40148029606E-09,+4.92127075902E-07,-2.97917063855E-06
7.60152030406E-09,-1.86316684484E-06,-2.47440888770E-06
7.80156031206E-09,-3.09049884122E-06,-2.86372978592E-07
8.00160032006E-09,-2.34830877033E-06,+2.06625540733E-06
8.20164032807E-09,-3.24981873510E-07,+3.17790828601E-06
8.40168033607E-09,+1.73224449940E-06,+2.79616051473E-06
8.60172034407E-09,+3.09560027523E-06,+1.45372824524E-06
8.80176035207E-09,+3.58256122974E-06,-3.52107726865E-07
9.00180036007E-09,+3.03562650141E-06,-2.26026430208E-06
9.20184036807E-09,+1.34559322306E-06,-3.62844288402E-06
9.40188037608E-09,-9.81100738730E-07,-3.62476643248E-06
9.60192038408E-09,-2.72898473645E-06,-2.03316427455E-06
9.80196039208E-09,-2.84548188712E-06,+2.20946853704E-07
1.00020004001E-08,-1.43847595574E-06,+1.67196278655E-06
1.02020404081E-08,+2.61878500574E-07,+1.55562582015E-06
1.04020804161E-08,+1.00648114268E-06,+4.01514227710E-07
1.06021204241E-08,+5.54018171318E-07,-5.95809432711E-07
1.08021604321E-08,-3.51056048863E-07,-6.85811623003E-07
1.10022004401E-08,-8.35245053195E-07,-4.06869923325E-08
1.12022404481E-08,-6.14125758332E-07,+6.67348627270E-07
1.14022804561E-08,+8.29695278924E-09,+9.42037800373E-07
1.16023204641E-08,+5.85091256558E-07,+7.28076635517E-07
1.18023604721E-08,+8.52310394771E-07,+2.41572034335E-07
1.20024004801E-08,+7.56654988554E-07,-2.57163483569E-07
1.22024404881E-08,+3.86805781701E-07,-5.50258409971E-07
1.24024804961E-08,-5.08831206001E-08,-5.10758035229E-07
1.26025205041E-08,-2.99121151765E-07,-1.91131713391E-07
1.28025605121E-08,-2.19928242628E-07,+1.67909670561E-07
1.30026005201E-08,+8.11326758908E-08,+3.08069128167E-07
1.32026405281E-08,+3.45839064544E-07,+1.65976225892E-07
1.34026805361E-08,+3.93745503008E-07,-1.01032700705E-07
1.36027205441E-08,+2.45604548604E-07,-2.91941774970E-07
1.38027605521E-08,+3.63795101847E-08,-3.26664332263E-07
1.40028005601E-08,-1.31458031041E-07,-2.39365966369E-07
1.42028405681E-08,-2.20052201145E-07,-8.11135705283E-08
1.44028805761E-08,-2.01491227557E-07,+1.06895484886E-07
1.46029205841E-08,-5.72432289897E-08,+2.48783300243E-07
1.48029605921E-08,+1.54233284712E-07,+2.48408285894E-07
1.50030006001E-08,+2.94983482589E-07,+9.15189240389E-08
1.52030406081E-08,+2.67480439809E-07,-1.04870872742E-07
1.54030806161E-08,+1.19910594873E-07,-1.96607665820E-07
1.56031206241E-08,-1.21224279793E-08,-1.57791355991E-07
1.58031606321E-08,-6.21927828501E-08,-7.95985842579E-08
1.60032006401E-08,-8.07671040906E-08,-2.68548197907E-08
1.62032406481E-08,-1.14172661742E-07,+4.30352815745E-08
1.64032806561E-08,-9.83851206614E-08,+1.78858741697E-07
1.66033206641E-08,+5.85838066493E-08,+2.99800444433E-07
1.68033606721E-08,+3.02548536382E-07,+2.46083890712E-07
1.70034006801E-08,+4.24745287236E-07,-1.13875182260E-08
1.72034406881E-08,+2.80961148053E-07,-2.75088462554E-07
1.74034806961E-08,-1.44351116846E-08,-3.02357987657E-07
1.76035207041E-08,-1.80094025626E-07,-7.70433356855E-08
1.78035607121E-08,-6.65491911601E-08,+1.56441708059E-07
1.80036007201E-08,+1.80816434991E-07,+1.53899944519E-07
1.82036407281E-08,+2.85858825211E-07,-6.93720397961E-08
1.84036807361E-08,+1.38748826818E-07,-2.72997621730E-07
1.86037207441E-08,-1.11023873781E-07,-2.60485060666E-07
1.88037607522E-08,-2.42517432572E-07,-6.45452150516E-08
1.90038007602E-08,-1.86310161215E-07,+1.34932792369E-07
1.92038407682E-08,-4.00113632340E-08,+2.16961415320E-07
1.94038807762E-08,+8.49983330304E-08,+1.99126237990E-07
1.96039207842E-08,+1.66523324726E-07,+1.45308944504E-07
1.98039607922E-08,+2.25219993064E-07,+6.93213445606E-08
2.00040008002E-08,+2.44074474256E-07,-4.15498458833E-08
2.02040408082E-08,+1.84486356847E-07,-1.54295781703E-07
2.04040808162E-08,+6.16619098345E-08,-1.99339792541E-07
2.06041208242E-08,-4.83677689928E-08,-1.52274335832E-07
2.08041608322E-08,-8.89304639477E-08,-6.47953722793E-08
2.10042008402E-08,-7.58399047888E-08,+1.78496198283E-09
2.12042408482E-08,-5.13236745318E-08,+4.17994852127E-08
