! CMT, C1209, , 23.2.4/2
! Date: 9/11/2023 9:06:22 AM
! Stimulus(Hz),    S21(Real),         S21(Imag)
3.90970097010E+09,+7.09978865476E-05,+1.00598223258E-04
3.90980098010E+09,+7.07085586883E-05,+1.00549611831E-04
3.90990099010E+09,+7.08033847752E-05,+1.00548217724E-04
3.91000100010E+09,+7.13021608611E-05,+1.00418232850E-04
3.91010101010E+09,+7.07711183535E-05,+9.95790964647E-05
3.91020102010E+09,+7.11212724052E-05,+9.96806592661E-05
3.91030103010E+09,+7.25522868092E-05,+9.96180744620E-05
3.91040104010E+09,+7.14191541149E-05,+9.91456235683E-05
3.91050105011E+09,+7.20859062542E-05,+9.95470780253E-05
3.91060106011E+09,+7.20923420971E-05,+9.89800759762E-05
3.91070107011E+09,+7.31888463039E-05,+9.91746578646E-05
3.91080108011E+09,+7.30100274651E-05,+9.83311189870E-05
3.91090109011E+09,+7.30467649586E-05,+9.94531109843E-05
3.91100110011E+09,+7.38493912527E-05,+9.89624105678E-05
3.91110111011E+09,+7.44707168975E-05,+9.94874000728E-05
3.91120112011E+09,+7.39717693920E-05,+9.87744641325E-05
3.91130113011E+09,+7.49626721747E-05,+9.82320541087E-05
3.91140114011E+09,+7.47297778239E-05,+9.82073575031E-05
3.91150115012E+09,+7.39306784962E-05,+9.84184949739E-05
3.91160116012E+09,+7.46913352614E-05,+9.75380759708E-05
3.91170117012E+09,+7.59755333438E-05,+9.78606394879E-05
3.91180118012E+09,+7.52015374719E-05,+9.73154674239E-05
3.91190119012E+09,+7.57506150577E-05,+9.68713648555E-05
3.91200120012E+09,+7.66768552202E-05,+9.61518602918E-05
3.91210121012E+09,+7.64338839961E-05,+9.61373977365E-05
3.91220122012E+09,+7.68600628260E-05,+9.63146981396E-05
3.91230123012E+09,+7.64807763068E-05,+9.61941459714E-05
3.91240124012E+09,+7.78948987097E-05,+9.69938930701E-05
3.91250125013E+09,+7.68611078811E-05,+9.58693616415E-05
3.91260126013E+09,+7.73605886226E-05,+9.56605335739E-05
3.91270127013E+09,+7.76215019122E-05,+9.59647343987E-05
3.91280128013E+09,+7.77594682503E-05,+9.48609397267E-05
3.91290129013E+09,+7.78509592710E-05,+9.51985596746E-05
3.91300130013E+09,+7.81809045841E-05,+9.44646756162E-05
3.91310131013E+09,+7.88795091207E-05,+9.52761104876E-05
3.91320132013E+09,+7.83419100818E-05,+9.48146333321E-05
3.91330133013E+09,+7.84851570857E-05,+9.36813703424E-05
3.91340134013E+09,+7.99196530671E-05,+9.46341503549E-05
3.91350135014E+09,+7.92267378383E-05,+9.48020683476E-05
3.91360136014E+09,+7.95229885658E-05,+9.38178602978E-05
3.91370137014E+09,+7.95385716270E-05,+9.40371643828E-05
3.91380138014E+09,+8.04799606383E-05,+9.40787847332E-05
3.91390139014E+09,+8.04590874725E-05,+9.37891060686E-05
3.91400140014E+09,+8.02662408644E-05,+9.37231387472E-05
3.91410141014E+09,+8.12587824893E-05,+9.32612000409E-05
3.91420142014E+09,+8.11050111663E-05,+9.29007212560E-05
3.91430143014E+09,+8.13437629692E-05,+9.26754203809E-05
3.91440144014E+09,+8.24295822184E-05,+9.30046609145E-05
3.91450145015E+09,+8.25183355506E-05,+9.30273673087E-05
3.91460146015E+09,+8.16122454586E-05,+9.19631395976E-05
3.91470147015E+09,+8.29311556886E-05,+9.18541633643E-05
3.91480148015E+09,+8.29151032215E-05,+9.18876443294E-05
3.91490149015E+09,+8.31554227346E-05,+9.15009550076E-05
3.91500150015E+09,+8.27560750208E-05,+9.12959009101E-05
3.91510151015E+09,+8.28678117404E-05,+9.02246671198E-05
3.91520152015E+09,+8.29906471577E-05,+9.07934775249E-05
3.91530153015E+09,+8.34287485778E-05,+9.05853746393E-05
3.91540154015E+09,+8.37132215984E-05,+8.99013024439E-05
3.91550155016E+09,+8.41947747652E-05,+9.05445298440E-05
3.91560156016E+09,+8.43294737986E-05,+8.96622834158E-05
3.91570157016E+09,+8.38642718370E-05,+8.94067982663E-05
3.91580158016E+09,+8.48126578247E-05,+9.05605689764E-05
3.91590159016E+09,+8.47654453294E-05,+8.94594955582E-05
3.91600160016E+09,+8.41834545253E-05,+8.96873535248E-05
3.91610161016E+09,+8.47128909451E-05,+8.87740248036E-05
3.91620162016E+09,+8.51445810866E-05,+8.97793914485E-05
3.91630163016E+09,+8.51023315413E-05,+8.89575188898E-05
3.91640164016E+09,+8.59127610723E-05,+8.86031807065E-05
3.91650165017E+09,+8.59032410848E-05,+8.78469363659E-05
3.91660166017E+09,+8.67629895340E-05,+8.85118120339E-05
3.91670167017E+09,+8.55137328956E-05,+8.77647234956E-05
3.91680168017E+09,+8.67242418909E-05,+8.83874818179E-05
3.91690169017E+09,+8.80977979847E-05,+8.82400213784E-05
3.91700170017E+09,+8.74064433318E-05,+8.70725842924E-05
3.91710171017E+09,+8.69104770329E-05,+8.74982697648E-05
3.91720172017E+09,+8.82752301552E-05,+8.67601243646E-05
3.91730173017E+09,+8.75746078272E-05,+8.66137164135E-05
3.91740174017E+09,+8.83789133837E-05,+8.64865714486E-05
3.91750175018E+09,+8.85222710408E-05,+8.63450844156E-05
3.91760176018E+09,+8.85243115936E-05,+8.65602738330E-05
3.91770177018E+09,+8.88144515002E-05,+8.52796187486E-05
3.91780178018E+09,+8.89074135535E-05,+8.54992144153E-05
3.91790179018E+09,+8.97424237595E-05,+8.57090731976E-05
3.91800180018E+09,+8.90941316536E-05,+8.52794137677E-05
3.91810181018E+09,+8.95323333834E-05,+8.53544006995E-05
3.91820182018E+09,+8.90770244537E-05,+8.54147670165E-05
3.91830183018E+09,+9.07579840064E-05,+8.46856601148E-05
3.91840184018E+09,+9.10408555218E-05,+8.46404990302E-05
3.91850185019E+09,+8.98219254084E-05,+8.42969379841E-05
3.91860186019E+09,+9.09571411421E-05,+8.44609128934E-05
3.91870187019E+09,+9.11450379559E-05,+8.41766333983E-05
3.91880188019E+09,+9.10382263476E-05,+8.38438861109E-05
3.91890189019E+09,+9.12512798529E-05,+8.39338561450E-05
3.91900190019E+09,+9.16337744468E-05,+8.42484479899E-05
3.91910191019E+09,+9.14011373728E-05,+8.33075770702E-05
3.91920192019E+09,+9.15192290854E-05,+8.26997394222E-05
3.91930193019E+09,+9.29782497354E-05,+8.27693653722E-05
3.91940194019E+09,+9.26213700847E-05,+8.25488735689E-05
3.91950195020E+09,+9.26976807474E-05,+8.22744781985E-05
3.91960196020E+09,+9.29312058824E-05,+8.15951483715E-05
3.91970197020E+09,+9.38446037752E-05,+8.21787036900E-05
3.91980198020E+09,+9.38648873850E-05,+8.14684718380E-05
3.91990199020E+09,+9.39835245140E-05,+8.15246012959E-05
3.92000200020E+09,+9.44040999277E-05,+8.04867624720E-05
3.92010201020E+09,+9.43373411493E-05,+7.98447673948E-05
3.92020202020E+09,+9.37648597852E-05,+8.00052176919E-05
3.92030203020E+09,+9.42536810174E-05,+7.98103567917E-05
3.92040204020E+09,+9.50744294777E-05,+8.02659487899E-05
3.92050205021E+09,+9.45722241077E-05,+7.89912894759E-05
3.92060206021E+09,+9.43014907579E-05,+7.89066496131E-05
3.92070207021E+09,+9.47502196093E-05,+7.87366819241E-05
