Stimulus(Hz),S21(dB)
3.90500050005E+09,-7.81454699456E+01
3.90510051005E+09,-7.81598088842E+01
3.90520052005E+09,-7.81681940010E+01
3.90530053005E+09,-7.82086469087E+01
3.90540054005E+09,-7.81270714050E+01
3.90550055006E+09,-7.81523115389E+01
3.90560056006E+09,-7.81992043159E+01
3.90570057006E+09,-7.81887296164E+01
3.90580058006E+09,-7.81894948716E+01
3.90590059006E+09,-7.82605296285E+01
3.90600060006E+09,-7.82644808005E+01
3.90610061006E+09,-7.82103823983E+01
3.90620062006E+09,-7.83000693786E+01
3.90630063006E+09,-7.82588979596E+01
3.90640064006E+09,-7.82395975860E+01
3.90650065007E+09,-7.82523443019E+01
3.90660066007E+09,-7.82604630394E+01
3.90670067007E+09,-7.83127844509E+01
3.90680068007E+09,-7.82747544639E+01
3.90690069007E+09,-7.83101829507E+01
3.90700070007E+09,-7.83212377462E+01
3.90710071007E+09,-7.82819537342E+01
3.90720072007E+09,-7.82289800400E+01
3.90730073007E+09,-7.82788072220E+01
3.90740074007E+09,-7.82204116295E+01
3.90750075008E+09,-7.82398673230E+01
3.90760076008E+09,-7.81822756363E+01
3.90770077008E+09,-7.82573417643E+01
3.90780078008E+09,-7.81527482325E+01
3.90790079008E+09,-7.81510368526E+01
3.90800080008E+09,-7.82181532006E+01
3.90810081008E+09,-7.81744265760E+01
3.90820082008E+09,-7.81773255412E+01
3.90830083008E+09,-7.81284038714E+01
3.90840084008E+09,-7.81779198936E+01
3.90850085009E+09,-7.81144172409E+01
3.90860086009E+09,-7.81694675077E+01
3.90870087009E+09,-7.81328058394E+01
3.90880088009E+09,-7.81630708459E+01
3.90890089009E+09,-7.81679983554E+01
3.90900090009E+09,-7.82412475272E+01
3.90910091009E+09,-7.82108567611E+01
3.90920092009E+09,-7.81856572869E+01
3.90930093009E+09,-7.82173695055E+01
3.90940094009E+09,-7.82703616452E+01
3.90950095010E+09,-7.81981933043E+01
3.90960096010E+09,-7.81426846340E+01
3.90970097010E+09,-7.81928067676E+01
3.90980098010E+09,-7.82073769963E+01
3.90990099010E+09,-7.82036022764E+01
3.91000100010E+09,-7.81907684438E+01
3.91010101010E+09,-7.82609882321E+01
3.91020102010E+09,-7.82406890295E+01
3.91030103010E+09,-7.81851099018E+01
3.91040104010E+09,-7.82592418659E+01
3.91050105011E+09,-7.82085055920E+01
3.91060106011E+09,-7.82407203077E+01
3.91070107011E+09,-7.81837875957E+01
3.91080108011E+09,-7.82392399735E+01
3.91090109011E+09,-7.81739274970E+01
3.91100110011E+09,-7.81680730259E+01
3.91110111011E+09,-7.81125059918E+01
3.91120112011E+09,-7.81735093087E+01
3.91130113011E+09,-7.81619114919E+01
3.91140114011E+09,-7.81732220372E+01
3.91150115012E+09,-7.81953160401E+01
3.91160116012E+09,-7.82123962616E+01
3.91170117012E+09,-7.81392029793E+01
3.91180118012E+09,-7.82028820889E+01
3.91190119012E+09,-7.82038453391E+01
3.91200120012E+09,-7.82031838901E+01
3.91210121012E+09,-7.82146799044E+01
3.91220122012E+09,-7.81861408135E+01
3.91230123012E+09,-7.82094762249E+01
3.91240124012E+09,-7.81035725975E+01
3.91250125013E+09,-7.82106434410E+01
3.91260126013E+09,-7.82000040540E+01
3.91270127013E+09,-7.81717670363E+01
3.91280128013E+09,-7.82260397482E+01
3.91290129013E+09,-7.82034660892E+01
3.91300130013E+09,-7.82287262842E+01
3.91310131013E+09,-7.81532235928E+01
3.91320132013E+09,-7.82023945387E+01
3.91330133013E+09,-7.82576223398E+01
3.91340134013E+09,-7.81409613022E+01
3.91350135014E+09,-7.81632287514E+01
3.91360136014E+09,-7.82028461457E+01
3.91370137014E+09,-7.81903237935E+01
3.91380138014E+09,-7.81451899060E+01
3.91390139014E+09,-7.81615922309E+01
3.91400140014E+09,-7.81739431830E+01
3.91410141014E+09,-7.81529036994E+01
3.91420142014E+09,-7.81791170903E+01
3.91430143014E+09,-7.81799811438E+01
3.91440144014E+09,-7.81122606328E+01
3.91450145015E+09,-7.81069594311E+01
3.91460146015E+09,-7.82051204639E+01
3.91470147015E+09,-7.81488969379E+01
3.91480148015E+09,-7.81479074702E+01
3.91490149015E+09,-7.81567065777E+01
3.91500150015E+09,-7.81862783517E+01
3.91510151015E+09,-7.82368977335E+01
3.91520152015E+09,-7.82013515066E+01
3.91530153015E+09,-7.81912705300E+01
3.91540154015E+09,-7.82130651079E+01
3.91550155016E+09,-7.81567568945E+01
3.91560156016E+09,-7.81956485843E+01
3.91570157016E+09,-7.82313373465E+01
3.91580158016E+09,-7.81263713214E+01
3.91590159016E+09,-7.81849420542E+01
3.91600160016E+09,-7.82014168565E+01
3.91610161016E+09,-7.82225862570E+01
3.91620162016E+09,-7.81502654486E+01
3.91630163016E+09,-7.81941978760E+01
3.91640164016E+09,-7.81725657968E+01
3.91650165017E+09,-7.82112513663E+01
3.91660166017E+09,-7.81354779446E+01
3.91670167017E+09,-7.82346757123E+01
3.91680168017E+09,-7.81436037146E+01
3.91690169017E+09,-7.80833878136E+01
3.91700170017E+09,-7.81754194108E+01
3.91710171017E+09,-7.81788853985E+01
3.91720172017E+09,-7.81474589975E+01
3.91730173017E+09,-7.81897869783E+01
3.91740174017E+09,-7.81557094606E+01
3.91750175018E+09,-7.81554519432E+01
3.91760176018E+09,-7.81447952502E+01
3.91770177018E+09,-7.81928303284E+01
3.91780178018E+09,-7.81773820930E+01
3.91790179018E+09,-7.81248639007E+01
3.91800180018E+09,-7.81786100065E+01
3.91810181018E+09,-7.81526847856E+01
3.91820182018E+09,-7.81728872731E+01
3.91830183018E+09,-7.81223476999E+01
3.91840184018E+09,-7.81100261224E+01
3.91850185019E+09,-7.81890129300E+01
3.91860186019E+09,-7.81228622089E+01
3.91870187019E+09,-7.81267324471E+01
3.91880188019E+09,-7.81480485572E+01
3.91890189019E+09,-7.81327843104E+01
3.91900190019E+09,-7.80982104321E+01
