Stimulus(s),S21(Real)
2.60424042404E-07,+7.41345557398E-09
2.60432043204E-07,+6.61342690969E-09
2.60440044004E-07,+5.54527806081E-09
2.60448044804E-07,+4.25190466120E-09
2.60456045605E-07,+2.78488046069E-09
2.60464046405E-07,+1.20251992590E-09
2.60472047205E-07,-4.32294426011E-10
2.60480048005E-07,-2.05444962577E-09
2.60488048805E-07,-3.59902972853E-09
2.60496049605E-07,-5.00375489352E-09
2.60504050405E-07,-6.21135215675E-09
2.60512051205E-07,-7.17177806651E-09
2.60520052005E-07,-7.84421532353E-09
2.60528052805E-07,-8.19876962930E-09
2.60536053605E-07,-8.21779929203E-09
2.60544054405E-07,-7.89681893020E-09
2.60552055206E-07,-7.24492993576E-09
2.60560056006E-07,-6.28474420114E-09
2.60568056806E-07,-5.05178382067E-09
2.60576057606E-07,-3.59335774385E-09
2.60584058406E-07,-1.96693620217E-09
2.60592059206E-07,-2.38064501992E-10
2.60600060006E-07,+1.52212133613E-09
2.60608060806E-07,+3.23969454640E-09
2.60616061606E-07,+4.84095243808E-09
2.60624062406E-07,+6.25553001393E-09
2.60632063206E-07,+7.41948499186E-09
2.60640064006E-07,+8.27822038879E-09
2.60648064806E-07,+8.78911005113E-09
2.60656065607E-07,+8.92369796443E-09
2.60664066407E-07,+8.66935410203E-09
2.60672067207E-07,+8.03028791364E-09
2.60680068007E-07,+7.02784487885E-09
2.60688068807E-07,+5.70004106957E-09
2.60696069607E-07,+4.10032423851E-09
2.60704070407E-07,+2.29558612915E-09
2.60712071207E-07,+3.63487786100E-10
2.60720072007E-07,-1.61080423331E-09
2.60728072807E-07,-3.53833963359E-09
2.60736073607E-07,-5.33040463365E-09
2.60744074407E-07,-6.90265938313E-09
2.60752075208E-07,-8.17919752272E-09
2.60760076008E-07,-9.09632842581E-09
2.60768076808E-07,-9.60588819541E-09
2.60776077608E-07,-9.67790121689E-09
2.60784078408E-07,-9.30243964999E-09
2.60792079208E-07,-8.49056278860E-09
2.60800080008E-07,-7.27426030128E-09
2.60808080808E-07,-5.70537108104E-09
2.60816081608E-07,-3.85350048343E-09
2.60824082408E-07,-1.80301052857E-09
2.60832083208E-07,+3.50792544519E-10
2.60840084008E-07,+2.50610389845E-09
2.60848084808E-07,+4.55949165059E-09
2.60856085609E-07,+6.41095895538E-09
2.60864086409E-07,+7.96894450727E-09
2.60872087209E-07,+9.15500539968E-09
2.60880088009E-07,+9.90793570188E-09
2.60888088809E-07,+1.01870968545E-08
2.60896089609E-07,+9.97477122378E-09
2.60904090409E-07,+9.27739637997E-09
2.60912091209E-07,+8.12559270406E-09
2.60920092009E-07,+6.57295806070E-09
2.60928092809E-07,+4.69366737032E-09
2.60936093609E-07,+2.57897858016E-09
2.60944094409E-07,+3.32806314844E-10
2.60952095210E-07,-1.93342295810E-09
2.60960096010E-07,-4.10637811299E-09
2.60968096810E-07,-6.07660726803E-09
2.60976097610E-07,-7.74419797465E-09
2.60984098410E-07,-9.02401431059E-09
2.60992099210E-07,-9.85022867264E-09
2.61000100010E-07,-1.01798987916E-08
2.61008100810E-07,-9.99538729973E-09
2.61016101610E-07,-9.30547980607E-09
2.61024102410E-07,-8.14512489854E-09
2.61032103210E-07,-6.57379228173E-09
2.61040104010E-07,-4.67251947957E-09
2.61048104810E-07,-2.53978914774E-09
2.61056105611E-07,-2.86444072800E-10
2.61064106411E-07,+1.97009830192E-09
2.61072107211E-07,+4.11202866946E-09
2.61080108011E-07,+6.02739745068E-09
2.61088108811E-07,+7.61609888862E-09
2.61096109611E-07,+8.79526187889E-09
2.61104110411E-07,+9.50375028898E-09
2.61112111211E-07,+9.70552072877E-09
2.61120112011E-07,+9.39164537076E-09
2.61128112811E-07,+8.58087838857E-09
2.61136113611E-07,+7.31872310815E-09
2.61144114411E-07,+5.67503880003E-09
2.61152115212E-07,+3.74030668171E-09
2.61160116012E-07,+1.62074965391E-09
2.61168116812E-07,-5.67434676610E-10
2.61176117612E-07,-2.70441677479E-09
2.61184118412E-07,-4.67330817762E-09
