Stimulus(s),S21(Real),S21(Imag)
1.02010201020E-08,+4.28522961673E-07,+1.31067458697E-06
1.03010301030E-08,-8.01628738413E-07,-7.98678433077E-07
1.04010401040E-08,+8.47129218920E-07,+2.25286930228E-07
1.05010501050E-08,-5.97013468423E-07,+2.32800825825E-07
1.06010601060E-08,+1.68996833188E-07,-4.46686586259E-07
1.07010701070E-08,+2.73410546610E-07,+3.72376009341E-07
1.08010801080E-08,-5.74030078041E-07,-6.00651034710E-08
1.09010901090E-08,+6.32822269411E-07,-3.66870376200E-07
1.10011001100E-08,-4.34509701399E-07,+7.55461664041E-07
1.11011101110E-08,+4.82920882460E-08,-9.74116308581E-07
1.12011201120E-08,+3.99988037672E-07,+9.53706748496E-07
1.13011301130E-08,-7.72498297841E-07,-7.05541384561E-07
1.14011401140E-08,+9.64862357346E-07,+3.11540697984E-07
1.15011501150E-08,-9.36963183900E-07,+1.08189090090E-07
1.16011601160E-08,+7.19721325759E-07,-4.37648276454E-07
1.17011701170E-08,-3.97533411112E-07,+6.01803339687E-07
1.18011801180E-08,+7.46540494019E-08,-5.85822039661E-07
1.19011901190E-08,+1.61214093537E-07,+4.31788106315E-07
1.20012001200E-08,-2.65103776317E-07,-2.16500419971E-07
1.21012101210E-08,+2.42723649614E-07,+2.04029775694E-08
1.22012201220E-08,-1.39635873176E-07,+1.00185310874E-07
1.23012301230E-08,+1.80865649264E-08,-1.28000382947E-07
1.24012401240E-08,+6.83192190187E-08,+8.33178727095E-08
1.25012501250E-08,-9.24345840734E-08,-9.01812827247E-09
1.26012601260E-08,+5.83950936833E-08,-5.00741273384E-08
1.27012701270E-08,+6.25070312098E-09,+6.47948750242E-08
1.28012801280E-08,-6.59043134462E-08,-2.99289219198E-08
1.29012901290E-08,+9.24285636458E-08,-3.84035451447E-08
1.30013001300E-08,-7.46115308076E-08,+1.13193840931E-07
1.31013101310E-08,+1.89358757033E-08,-1.69063605810E-07
1.32013201320E-08,+5.68622802481E-08,+1.91250147407E-07
1.33013301330E-08,-1.33112220727E-07,-1.78019980247E-07
1.34013401340E-08,+1.95604146396E-07,+1.37000193708E-07
1.35013501350E-08,-2.38085193536E-07,-7.86799363337E-08
1.36013601360E-08,+2.59870670287E-07,+1.11310678661E-08
1.37013701370E-08,-2.61175603782E-07,+6.13415495758E-08
1.38013801380E-08,+2.39716705343E-07,-1.35520921274E-07
1.39013901390E-08,-1.91075854153E-07,+2.04934582474E-07
1.40014001400E-08,+1.12902169150E-07,-2.57258212667E-07
1.41014101410E-08,-1.05606517753E-08,+2.75990937055E-07
1.42014201420E-08,-9.93875811188E-08,-2.46571310966E-07
1.43014301430E-08,+1.90793622154E-07,+1.64476017950E-07
1.44014401440E-08,-2.35201929952E-07,-4.12907469125E-08
1.45014501450E-08,+2.12503179024E-07,-9.48901685124E-08
1.46014601460E-08,-1.20613390269E-07,+2.06153997990E-07
1.47014701470E-08,-2.03326407884E-08,-2.56836826924E-07
1.48014801480E-08,+1.71880706168E-07,+2.26625710539E-07
1.49014901490E-08,-2.88631329507E-07,-1.19453563244E-07
1.50015001500E-08,+3.33294476411E-07,-3.57420217055E-08
1.51015101510E-08,-2.89885103797E-07,+1.93280285566E-07
1.52015201520E-08,+1.69990125891E-07,-3.05371661038E-07
1.53015301530E-08,-9.56887196463E-09,+3.37923996063E-07
1.54015401540E-08,-1.42682198095E-07,-2.81800280954E-07
1.55015501550E-08,+2.41212059245E-07,+1.55523875679E-07
1.56015601560E-08,-2.58064378261E-07,+1.34219309815E-09
1.57015701570E-08,+1.90928614542E-07,-1.41489330879E-07
1.58015801580E-08,-6.23819945195E-08,+2.24905476673E-07
1.59015901590E-08,-8.87860318437E-08,-2.30441279617E-07
1.60016001600E-08,+2.20548148035E-07,+1.60337122428E-07
1.61016101610E-08,-3.00144727052E-07,-3.69743415980E-08
1.62016201620E-08,+3.12076757722E-07,-1.06085463417E-07
1.63016301630E-08,-2.59661999308E-07,+2.35005631647E-07
1.64016401640E-08,+1.60762872856E-07,-3.24672385319E-07
1.65016501650E-08,-4.02064585805E-08,+3.63281681922E-07
1.66016601660E-08,-7.79423340963E-08,-3.52050706815E-07
1.67016701670E-08,+1.75764084286E-07,+3.01402406312E-07
1.68016801680E-08,-2.43507540618E-07,-2.25873084685E-07
1.69016901690E-08,+2.78746271772E-07,+1.39796910036E-07
1.70017001700E-08,-2.84067779865E-07,-5.48485898760E-08
1.71017101710E-08,+2.64734732594E-07,-2.06147269219E-08
1.72017201720E-08,-2.27131588988E-07,+8.12095180696E-08
1.73017301730E-08,+1.77998657394E-07,-1.24050895432E-07
1.74017401740E-08,-1.23945864901E-07,+1.48557217264E-07
1.75017501750E-08,+7.07658400162E-08,-1.56352231862E-07
1.76017601760E-08,-2.25159695262E-08,+1.50779466907E-07
1.77017701770E-08,-1.91562201178E-08,-1.35730190296E-07
1.78017801780E-08,+5.48020782362E-08,+1.14034959695E-07
1.79017901790E-08,-8.57797423364E-08,-8.62049291042E-08
1.80018001800E-08,+1.12096691811E-07,+5.04328635467E-08
1.81018101810E-08,-1.30570195151E-07,-4.29193672271E-09
1.82018201820E-08,+1.34567452889E-07,-5.23337497778E-08
1.83018301830E-08,-1.16051777080E-07,+1.14436022351E-07
1.84018401840E-08,+6.95630902298E-08,-1.70877486943E-07
1.85018501850E-08,+3.40643319970E-09,+2.06378152386E-07
1.86018601860E-08,-9.18038820992E-08,-2.06423501355E-07
1.87018701870E-08,+1.75988389067E-07,+1.63531880112E-07
1.88018801880E-08,-2.32782661981E-07,-8.22981918978E-08
1.89018901890E-08,+2.43299694121E-07,-1.93422844460E-08
1.90019001900E-08,-2.00739213726E-07,+1.13964806894E-07
1.91019101910E-08,+1.14885106730E-07,-1.72940570000E-07
1.92019201920E-08,-1.09521444048E-08,+1.76482145821E-07
1.93019301930E-08,-7.75232314467E-08,-1.21690816882E-07
1.94019401940E-08,+1.19657380518E-07,+2.52394423299E-08
1.95019501950E-08,-9.82211479898E-08,+8.08466686965E-08
1.96019601960E-08,+1.65198956418E-08,-1.59248045058E-07
1.97019701970E-08,+1.01651540003E-07,+1.79851054832E-07
1.98019801980E-08,-2.19252932120E-07,-1.30200169614E-07
1.99019901990E-08,+2.97991485197E-07,+2.00569303318E-08
2.00020002000E-08,-3.10793778822E-07,+1.21616993629E-07
2.01020102010E-08,+2.50318305050E-07,-2.56104758173E-07
2.02020202020E-08,-1.30621629675E-07,+3.47296710342E-07
2.03020302030E-08,-1.82764040028E-08,-3.72506376250E-07
2.04020402040E-08,+1.60548753518E-07,+3.28083517513E-07
2.05020502050E-08,-2.65481827545E-07,-2.28352052084E-07
2.06020602060E-08,+3.15275254019E-07,+9.90177882040E-08
2.07020702070E-08,-3.07436277748E-07,+3.18510146245E-08
2.08020802080E-08,+2.51856010358E-07,-1.41636416706E-07
2.09020902090E-08,-1.64744794120E-07,+2.17161985962E-07
2.10021002100E-08,+6.25350351054E-08,-2.54260736933E-07
2.11021102110E-08,+4.16889054430E-08,+2.54360329209E-07
2.12021202120E-08,-1.38342203243E-07,-2.20666798555E-07
2.13021302130E-08,+2.19109919655E-07,+1.56292712631E-07
2.14021402140E-08,-2.74614453616E-07,-6.52516755964E-08
2.15021502150E-08,+2.94213883013E-07,-4.46206876538E-08
2.16021602160E-08,-2.68868246733E-07,+1.59103033050E-07
2.17021702170E-08,+1.96109787044E-07,-2.57784108686E-07
2.18021802180E-08,-8.46091780838E-08,+3.18194270756E-07
2.19021902190E-08,-4.45344782570E-08,-3.23017855499E-07
2.20022002200E-08,+1.61548818415E-07,+2.67657632226E-07
2.21022102210E-08,-2.36391498110E-07,-1.64651941574E-07
2.22022202220E-08,+2.49115391837E-07,+4.22633300357E-08
2.23022302230E-08,-1.98162335283E-07,+6.32589994843E-08
2.24022402240E-08,+1.02856353052E-07,-1.19558947308E-07
2.25022502250E-08,+1.66191268907E-09,+1.09984407182E-07
2.26022602260E-08,-7.59018974658E-08,-4.06851174077E-08
2.27022702270E-08,+9.00478927460E-08,-6.01819010426E-08
2.28022802280E-08,-3.53850954439E-08,+1.51446616094E-07
2.29022902290E-08,-7.13544276896E-08,-1.93253595378E-07
2.30023002300E-08,+1.92725535711E-07,+1.61655559777E-07
2.31023102310E-08,-2.83023286655E-07,-5.80931236464E-08
2.32023202320E-08,+3.04161608913E-07,-8.98693250339E-08
2.33023302330E-08,-2.39328624711E-07,+2.37018615343E-07
2.34023402340E-08,+9.95289191433E-08,-3.35281429210E-07
2.35023502350E-08,+7.93003839472E-08,+3.49651465073E-07
2.36023602360E-08,-2.47518565291E-07,-2.69738078080E-07
2.37023702370E-08,+3.57356583807E-07,+1.13097496407E-07
2.38023802380E-08,-3.77471521565E-07,+8.04874783909E-08
2.39023902390E-08,+3.01731998291E-07,-2.61453683109E-07
2.40024002400E-08,-1.49754578501E-07,+3.85161631836E-07
2.41024102410E-08,-4.03132058065E-08,-4.23980848605E-07
2.42024202420E-08,+2.23727149655E-07,+3.73217218555E-07
2.43024302430E-08,-3.61542230016E-07,-2.49778337640E-07
2.44024402440E-08,+4.29620716047E-07,+8.50036729754E-08
2.45024502450E-08,-4.22094168799E-07,+8.52220942947E-08
2.46024602460E-08,+3.49305509497E-07,-2.29610081328E-07
2.47024702470E-08,-2.32055555203E-07,+3.27331086725E-07
2.48024802480E-08,+9.47814911987E-08,-3.69720811191E-07
2.49024902490E-08,+4.00244246375E-08,+3.58558522208E-07
2.50025002500E-08,-1.54947115233E-07,-3.02608873167E-07
2.51025102510E-08,+2.38399999604E-07,+2.14172111436E-07
2.52025202520E-08,-2.83947790023E-07,-1.06718430249E-07
2.53025302530E-08,+2.89350273332E-07,-6.25266322745E-09
2.54025402540E-08,-2.56056801328E-07,+1.11693242514E-07
2.55025502550E-08,+1.89192808715E-07,-1.97574507616E-07
2.56025602560E-08,-9.75433263010E-08,+2.53956976643E-07
2.57025702570E-08,-7.06858523814E-09,-2.74412460653E-07
2.58025802580E-08,+1.11277279995E-07,+2.57209735437E-07
2.59025902590E-08,-2.02272759815E-07,-2.05625969555E-07
2.60026002600E-08,+2.69818461287E-07,+1.27104821992E-07
2.61026102610E-08,-3.07469458277E-07,-3.15371709468E-08
2.62026202620E-08,+3.12642559680E-07,-7.06299012457E-08
2.63026302630E-08,-2.85766188495E-07,+1.69698314914E-07
2.64026402640E-08,+2.29198387531E-07,-2.57051165942E-07
2.65026502650E-08,-1.46677253572E-07,+3.24725970504E-07
2.66026602660E-08,+4.36922791601E-08,-3.64945280529E-07
2.67026702670E-08,+7.14831991011E-08,+3.70427656695E-07
2.68026802680E-08,-1.86935694253E-07,-3.35911555001E-07
2.69026902690E-08,+2.87439679775E-07,+2.60596869446E-07
2.70027002700E-08,-3.56591576934E-07,-1.50499991078E-07
2.71027102710E-08,+3.80551725234E-07,+1.94125626908E-08
2.72027202720E-08,-3.52305459514E-07,+1.12528964112E-07
2.73027302730E-08,+2.74827711219E-07,-2.22784723444E-07
2.74027402740E-08,-1.61676743331E-07,+2.91906148226E-07
2.75027502750E-08,+3.43669531316E-08,-3.08817529810E-07
