Stimulus(s),S21(dB)
5.40054005401E-09,-1.07300942115E+02
5.50055005501E-09,-1.02965634509E+02
5.60056005601E-09,-1.01069055921E+02
5.70057005701E-09,-1.00321625574E+02
5.80058005801E-09,-1.00295111077E+02
5.90059005901E-09,-1.00805789972E+02
6.00060006001E-09,-1.01767669851E+02
6.10061006101E-09,-1.03144562825E+02
6.20062006201E-09,-1.04931959586E+02
6.30063006301E-09,-1.07150010352E+02
6.40064006401E-09,-1.09838384824E+02
6.50065006501E-09,-1.13032080185E+02
6.60066006601E-09,-1.16618029819E+02
6.70067006701E-09,-1.19735956002E+02
6.80068006801E-09,-1.20534053676E+02
6.90069006901E-09,-1.19340232268E+02
7.00070007001E-09,-1.17811570579E+02
7.10071007101E-09,-1.16460766099E+02
7.20072007201E-09,-1.15322057626E+02
7.30073007301E-09,-1.14383942912E+02
7.40074007401E-09,-1.13652659397E+02
7.50075007501E-09,-1.13141919595E+02
7.60076007601E-09,-1.12862010050E+02
7.70077007701E-09,-1.12816160941E+02
7.80078007801E-09,-1.13000096923E+02
7.90079007901E-09,-1.13400998278E+02
8.00080008001E-09,-1.13993519620E+02
8.10081008101E-09,-1.14731228566E+02
8.20082008201E-09,-1.15533592857E+02
8.30083008301E-09,-1.16275897311E+02
8.40084008401E-09,-1.16804472263E+02
8.50085008501E-09,-1.16999461048E+02
8.60086008601E-09,-1.16848722591E+02
8.70087008701E-09,-1.16446755907E+02
8.80088008801E-09,-1.15920421025E+02
8.90089008901E-09,-1.15368067997E+02
9.00090009001E-09,-1.14846534934E+02
9.10091009101E-09,-1.14383126325E+02
9.20092009201E-09,-1.13990387993E+02
9.30093009301E-09,-1.13676375336E+02
9.40094009401E-09,-1.13450232830E+02
9.50095009501E-09,-1.13324537027E+02
9.60096009601E-09,-1.13315843593E+02
9.70097009701E-09,-1.13444572048E+02
9.80098009801E-09,-1.13735034232E+02
9.90099009901E-09,-1.14216142429E+02
1.00010001000E-08,-1.14923184937E+02
1.01010101010E-08,-1.15901035011E+02
1.02010201020E-08,-1.17209037156E+02
1.03010301030E-08,-1.18926218167E+02
1.04010401040E-08,-1.21144227527E+02
1.05010501050E-08,-1.23865585201E+02
1.06010601060E-08,-1.26418959712E+02
1.07010701070E-08,-1.26707705429E+02
1.08010801080E-08,-1.24774014470E+02
1.09010901090E-08,-1.22715992213E+02
1.10011001100E-08,-1.21194602101E+02
1.11011101110E-08,-1.20217123117E+02
1.12011201120E-08,-1.19708001292E+02
1.13011301130E-08,-1.19607674636E+02
1.14011401140E-08,-1.19879997140E+02
1.15011501150E-08,-1.20508028399E+02
